action,blood glucose,reward,meal,risk
0,39.0,-40.5,0.0,20.074275769167897
0,39.353077,-39.68339791900773,0.0,19.367215253047945
0,42.35123,-33.806876231244544,0.0,18.65782050988506
0,46.97157,-30.03726666549322,0.0,17.947672504942883
0,47.18994,-36.13137066095664,0.0,17.23830042115683
0,47.719257,-35.48807087734405,0.0,16.531180063472476
0,48.5085,-34.801341567674925,0.0,15.827732388601524
0,49.506653,-34.0987581379763,0.0,15.129322177402155
0,50.662697,-33.400871753957006,0.0,14.437256864702173
0,51.9256,-32.72374580002506,0.0,13.75278553886074
0,53.244324,-32.08130026689093,0.0,13.077098120782548
0,54.567837,-31.487193296056446,0.0,12.411324729516632
0,55.84508,-30.956163914709176,0.0,11.7565352390525
0,57.033997,-30.493078817201287,0.0,11.113739028505004
0,58.14646,-30.045032777299127,0.0,10.483884925597518
0,59.275284,-29.50948464326244,0.0,9.867861341233125
0,60.531254,-28.83250399255099,0.0,9.266496591010734
0,62.02514,-27.97579930212812,0.0,8.680559397806796
0,63.852665,-26.920758937976743,0.0,8.110759568015881
0,66.01933,-25.735466408018556,0.0,7.557748832724162
0,68.395294,-24.554585145537065,0.0,7.022121843983687
0,70.82061,-23.44249083858221,0.0,6.504417315451607
0,73.13534,-22.446384186903863,0.0,6.005119295955421
0,75.19833,-21.60459813112214,0.0,5.524658564030206
0,76.98126,-20.87939525320701,0.0,5.063414131135843
0,78.625015,-20.151490596039864,0.0,4.621714841088312
0,80.30809,-19.33911912197058,0.0,4.199841053216835
0,82.20896,-18.371251632771862,0.0,3.798026396868544
0,84.47841,-17.197574877859267,0.0,3.4164595851161024
0,87.100945,-15.877629435439813,0.0,3.0552862758604302
0,89.81174,-14.585051667397249,0.0,2.71461096894805
0,92.29053,-13.456541939390435,0.0,2.394498928426552
0,94.21706,-12.623293481043802,0.0,2.094978119626853
0,95.30919,-12.208557999914769,0.0,1.8160411513756567
0,95.51366,-12.218733687485756,0.0,1.5576472142924094
0,95.120476,-12.48708359112303,0.0,1.3197240068020673
0,94.49594,-12.830026939233282,0.0,1.1021696411861424
0,94.00635,-13.060437836686477,0.0,0.9048545226926484
0,93.98535,-13.01010109871318,0.0,0.7276231954204224
0,94.570854,-12.638643204170434,0.0,0.5702961493786904
0,95.607124,-12.069611358593589,0.0,0.4326715837925844
0,96.87317,-11.421212676455651,0.0,0.314527122373573
0,98.147995,-10.796491760455384,0.0,0.2156214768964562
0,99.22858,-10.286311881528976,0.0,0.1356960560183206
0,100.0198,7.066923135407241,0.0,0.0744765168363552
0,100.58839,7.045103522970883,0.0,0.0316742572092448
0,101.037025,7.033854213285185,0.0,0.0069878473589619
0,101.46838,7.031128198462058,0.0,0.0001043997260167
0,101.98516,7.03547896387334,0.0,0.0107008764706489
0,102.69002,7.04525552273294,0.0,0.0384453343956929
0,103.68563,7.057883070867127,0.0,0.0829981074141771
0,105.07468,7.06927045888997,0.0,0.1440129269971466
0,106.95982,7.073428962216739,0.0,0.2211379813156785
0,109.44824,7.062482321263254,0.0,0.314016914037308
0,112.34027,7.026464209610948,0.0,0.4222897639520334
0,115.132904,6.981739354259179,0.0,0.5455938467891277
0,117.979645,6.940236350341391,0.0,0.6835645807442238
0,121.034035,6.8929767133364805,0.0,0.8358362573689595
0,124.44958,6.831673694949882,0.0,1.0020427595838777
0,128.3798,6.7479657128606,0.0,1.18181822866278
0,132.97824,6.633148961686988,0.0,1.374797682102402
0.1,138.3984,6.4783631908671495,0.0,1.5806172444025737
[0.],144.79369,-13.121668715211491,0.0,1.7988932283591654
[0.],152.25806,-17.10439119034813,0.0,2.029090166316503
0.1,160.53209,-21.48542594287217,0.0,2.2703656526304434
0.1,168.82751,-25.758800324604945,8.333333333333334,2.5216188841524785
[0.],176.24709,-29.41409056757781,0.0,2.783428346158951
[0.],181.93593,-32.00555278168079,0.0,3.0650214136775085
[0.],185.19327,-33.20747764757249,0.0,3.382580036172072
0.1,185.9128,-33.09286714316032,0.0,3.748190606011408
[0.],184.84726,-32.22173006214098,0.0,4.167610291336149
0.1,182.91241,-31.09269242949714,0.0,4.641680636967617
[0.],180.99992,-30.144714148974597,0.0,5.1675631687945325
[0.],179.93498,-29.771491508979672,0.0,5.739477175209206
0.1,180.2209,-30.162944677337023,0.0,6.349053194514196
[0.],181.88574,-31.250405876900032,0.0,6.985723585828188
[0.],184.84846,-32.97919427999813,0.0,7.6368054967101
0.1,189.02339,-35.3094143528443,0.0,8.28767815507691
[0.],194.27766,-38.1667216468997,0.0,8.922834547081745
0.1,200.21004,-41.29437825944848,0.0,9.527638735504537
[0.],206.02168,-44.20231297949254,0.0,10.090128197206468
[0.04184273],210.84035,-46.42564172566382,0.0,10.602019931274786
[0.],213.81123,-47.53273050061927,0.0,11.058574698971375
[0.01928315],214.2055,-47.186367178502806,0.0,11.457834242070552
[0.],211.97725,-45.51725860402352,0.0,11.799700493973823
[0.],208.09654,-43.23453775481816,0.0,12.085201827950286
0.1,203.76045,-40.98264930635971,0.0,12.31601228524023
0.1,200.16685,-39.34967592307468,0.0,12.494170347971528
[0.],198.40662,-38.8474803444432,0.0,12.621699544443889
0.1,198.92876,-39.56967267511571,0.0,12.700114619635697
[0.04286464],201.21954,-41.07424955222268,0.0,12.730271639600918
0.1,204.54868,-42.95634618205667,0.0,12.712471036832408
0.1,208.18285,-44.84478945182781,0.0,12.646529372721307
[0.],211.4256,-46.39229743923472,0.0,12.531842323051148
0.1,213.81534,-47.41253636730649,0.0,12.36740813475521
[0.],215.24469,-47.92589915204715,0.0,12.15207103902894
0.1,215.68492,-47.93618380671769,0.0,11.88486001459929
[0.],215.10808,-47.43125186102658,0.0,11.565243330477193
0.1,213.4879,-46.40008359680982,0.0,11.193313933908382
0.1,210.80025,-44.83308582928558,0.0,10.769888413476536
[0.],207.02316,-42.72226303364433,0.0,10.296501935162295
0.1,202.1361,-40.0609931471794,0.0,9.775225071177404
0.1,196.11958,-36.84446073439431,0.0,9.20880283141681
[0.07592624],190.77443,-34.332868226521256,0.0,8.600794782750988
[0.],187.8431,-33.3545248703778,0.0,7.955510580449433
0.1,183.62517,-31.011871325739826,0.0,7.278016230532888
0.1,178.32077,-28.18116288462342,0.0,6.574373555629593
0.1,172.13234,-24.96737176703405,0.0,5.851846508879377
[0.],165.26466,-21.47552797890157,0.0,5.11887671616908
0.1,157.92422,-17.809865442436838,0.0,4.3850655078105865
[0.],150.31938,-14.073304075148137,0.0,3.6613399672510094
[0.],142.6612,-10.366903390817823,0.0,2.960126366178737
[0.00708006],135.16411,7.793210120186382,0.0,2.295403842537992
0.1,128.03217,7.590882483976396,0.0,1.6826836826646907
0,121.3877,7.380577143945095,0.0,1.1387572381464046
0,115.22746,7.180565556730058,0.0,0.6811781848545927
0,109.52148,6.994399590592496,0.0,0.3276795284372772
0,104.2407,6.822812903124883,0.0,0.0956189379642584
0,99.36117,-10.65274925853356,0.0,0.001347299630667
0,94.88716,-13.026189045391778,0.0,0.0594998131557526
0,90.86453,-15.142663089282763,0.0,0.2822819576290733
0,87.34609,-16.96334480178597,0.0,0.6788278300056878
0,84.381,-18.453600927097057,0.0,1.2546931181926162
0,81.99972,-19.595828315478133,0.0,2.0115240814065967
0,80.14185,-20.44627702339873,0.0,2.9469225002073847
0,78.612885,-21.155961637048197,0.0,4.054507193027008
0,77.18484,-21.87111861719879,0.0,5.324157058795906
0,75.62526,-22.730388886212378,0.0,6.742409792079673
